id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria_nps,volveria_comprar,calificacion_general
7539,Hamburguesas,Semanal,90,7,6,Rápido,Bajo,10,Sí,8
7540,Hamburguesas,Quincenal,52,7,8,Aceptable,Alto,4,Sí,6
7541,Hamburguesas,Ocasional,102,10,8,Rápido,Medio,7,Sí,8
7542,Hamburguesas,Semanal,89,10,2,Aceptable,Medio,5,Sí,6
7543,Hamburguesas,Ocasional,105,10,9,Aceptable,Alto,9,Sí,9
7544,Hamburguesas,Mensual,113,2,3,Rápido,Medio,3,Sí,3
7545,Pizza,Ocasional,111,7,9,Lento,Medio,6,Sí,7
7546,Tacos,Semanal,51,2,5,Rápido,Medio,8,No,5
7547,Pizza,Quincenal,124,6,10,Aceptable,Medio,3,Sí,6
7548,Pizza,Ocasional,72,3,2,Rápido,Medio,10,Sí,5
7549,Sándwiches,Quincenal,82,8,9,Rápido,Alto,0,Sí,6
7550,Sándwiches,Diario,29,6,5,Rápido,Medio,6,No,6
7551,Shawarmas,Semanal,39,10,9,Aceptable,Medio,8,Sí,9
7552,Tacos,Ocasional,59,4,0,Rápido,Alto,6,Sí,3
7553,Hamburguesas,Mensual,57,7,0,Rápido,Medio,0,Sí,2
7554,Pollo Frito,Mensual,42,10,7,Aceptable,Medio,9,Sí,9
7555,Pizza,Quincenal,149,5,2,Rápido,Medio,6,Sí,4
7556,Hot Dogs,Ocasional,49,5,4,Lento,Medio,7,No,5
7557,Pollo Frito,Diario,97,4,7,Rápido,Alto,9,Sí,7
7558,Hamburguesas,Semanal,77,7,10,Rápido,Bajo,5,Sí,7
7559,Tacos,Quincenal,77,2,3,Rápido,Medio,7,No,4
7560,Pollo Frito,Semanal,61,8,8,Rápido,Alto,8,Sí,8
7561,Pollo Frito,Quincenal,49,10,9,Aceptable,Bajo,10,Sí,10
7562,Hamburguesas,Semanal,65,1,0,Aceptable,Bajo,6,No,2
7563,Pollo Frito,Quincenal,105,8,7,Aceptable,Bajo,3,No,6
7564,Hamburguesas,Diario,41,2,0,Lento,Alto,8,Sí,3
7565,Pizza,Quincenal,134,7,6,Aceptable,Alto,8,Sí,7
7566,Pollo Frito,Ocasional,77,7,8,Aceptable,Medio,4,Sí,6
7567,Hot Dogs,Semanal,44,10,10,Aceptable,Medio,10,Sí,10
7568,Tacos,Mensual,86,3,7,Rápido,Medio,6,Sí,5
7569,Pollo Frito,Semanal,55,9,8,Rápido,Medio,2,Sí,6
7570,Pollo Frito,Semanal,110,7,10,Aceptable,Alto,9,Sí,9
7571,Pizza,Mensual,57,0,10,Aceptable,Alto,10,Sí,7
7572,Pizza,Mensual,56,4,10,Aceptable,Medio,5,No,6
7573,Pollo Frito,Quincenal,112,10,6,Rápido,Medio,7,Sí,8
7574,Tacos,Mensual,39,8,6,Lento,Medio,9,Sí,8
7575,Pizza,Semanal,101,5,4,Aceptable,Medio,9,No,6
7576,Pizza,Semanal,53,8,9,Lento,Alto,9,Sí,9
7577,Pollo Frito,Mensual,63,5,7,Rápido,Alto,4,Sí,5
7578,Hamburguesas,Semanal,80,10,7,Rápido,Alto,10,Sí,9
7579,Sándwiches,Ocasional,79,10,8,Aceptable,Medio,7,Sí,8
7580,Hamburguesas,Ocasional,69,7,10,Rápido,Medio,4,No,7
7581,Tacos,Semanal,88,8,5,Aceptable,Medio,5,Sí,6
7582,Hamburguesas,Quincenal,88,7,9,Aceptable,Medio,10,Sí,9
7583,Pizza,Semanal,153,9,9,Rápido,Alto,4,Sí,7
7584,Pizza,Diario,111,9,10,Rápido,Alto,9,Sí,9
7585,Tacos,Semanal,81,3,9,Rápido,Bajo,6,Sí,6
7586,Shawarmas,Semanal,68,3,8,Rápido,Medio,8,Sí,6
7587,Pizza,Quincenal,106,9,5,Rápido,Bajo,8,Sí,7
7588,Pollo Frito,Semanal,107,6,2,Lento,Alto,0,No,3
7589,Hamburguesas,Mensual,57,10,8,Aceptable,Medio,2,No,7
7590,Hot Dogs,Mensual,61,8,7,Aceptable,Medio,7,Sí,7
7591,Tacos,Semanal,51,10,8,Rápido,Alto,7,Sí,8
7592,Shawarmas,Mensual,52,2,8,Aceptable,Alto,8,Sí,6
7593,Tacos,Semanal,90,8,10,Rápido,Medio,7,Sí,8
7594,Hamburguesas,Semanal,91,10,4,Aceptable,Medio,10,Sí,8
7595,Pizza,Semanal,156,5,5,Aceptable,Medio,8,No,6
7596,Hamburguesas,Mensual,72,6,5,Lento,Medio,4,Sí,5
7597,Hamburguesas,Semanal,99,4,9,Aceptable,Bajo,10,Sí,8
7598,Hamburguesas,Quincenal,101,10,6,Rápido,Medio,10,Sí,9
7599,Pollo Frito,Semanal,102,10,9,Rápido,Medio,9,Sí,9
7600,Pollo Frito,Quincenal,97,10,10,Rápido,Bajo,8,Sí,9
7601,Sándwiches,Ocasional,87,7,3,Aceptable,Medio,6,Sí,5
7602,Pollo Frito,Mensual,61,10,7,Aceptable,Medio,9,Sí,9
7603,Hamburguesas,Mensual,85,9,9,Rápido,Bajo,9,Sí,9
7604,Pollo Frito,Semanal,126,9,8,Aceptable,Alto,9,Sí,9
7605,Pizza,Semanal,55,5,7,Rápido,Medio,10,No,7
7606,Pollo Frito,Quincenal,49,8,8,Aceptable,Medio,10,Sí,9
7607,Pollo Frito,Semanal,86,6,2,Aceptable,Bajo,5,No,4
7608,Tacos,Semanal,88,1,7,Lento,Bajo,10,Sí,6
7609,Pizza,Mensual,62,2,6,Lento,Alto,9,No,6
7610,Pollo Frito,Quincenal,54,7,3,Rápido,Medio,7,Sí,6
7611,Pollo Frito,Semanal,68,3,7,Aceptable,Medio,7,Sí,6
7612,Hamburguesas,Semanal,104,6,10,Rápido,Bajo,3,Sí,6
7613,Hamburguesas,Mensual,66,7,3,Aceptable,Alto,5,No,5
7614,Tacos,Quincenal,41,9,10,Aceptable,Bajo,10,Sí,10
7615,Tacos,Mensual,89,5,9,Aceptable,Alto,8,Sí,7
7616,Tacos,Semanal,89,7,9,Rápido,Alto,4,No,7
7617,Pizza,Mensual,53,10,8,Aceptable,Bajo,2,Sí,7
7618,Pollo Frito,Semanal,79,4,8,Lento,Medio,8,Sí,7
7619,Pollo Frito,Quincenal,55,7,9,Rápido,Medio,6,Sí,7
7620,Hamburguesas,Semanal,46,5,3,Aceptable,Medio,4,Sí,4
7621,Hamburguesas,Semanal,93,2,9,Aceptable,Medio,9,Sí,7
7622,Hamburguesas,Quincenal,74,7,0,Lento,Bajo,6,No,4
7623,Pizza,Diario,96,7,9,Aceptable,Alto,9,Sí,8
7624,Pizza,Semanal,60,4,9,Aceptable,Bajo,9,Sí,7
7625,Pollo Frito,Mensual,36,7,2,Aceptable,Alto,10,Sí,6
7626,Hot Dogs,Semanal,20,10,8,Aceptable,Bajo,9,Sí,9
7627,Pizza,Semanal,86,0,10,Rápido,Alto,9,No,6
7628,Tacos,Diario,45,7,5,Rápido,Bajo,6,Sí,6
7629,Shawarmas,Quincenal,87,9,8,Aceptable,Medio,10,Sí,9
7630,Hot Dogs,Semanal,29,5,0,Rápido,Medio,8,Sí,4
7631,Hamburguesas,Mensual,87,7,6,Aceptable,Medio,6,No,6
7632,Pizza,Mensual,126,8,9,Rápido,Alto,9,Sí,9
7633,Sándwiches,Quincenal,27,7,7,Rápido,Medio,7,Sí,7
7634,Hamburguesas,Mensual,58,2,8,Rápido,Alto,3,No,4
7635,Tacos,Semanal,61,9,7,Rápido,Alto,6,No,7
7636,Tacos,Mensual,31,1,4,Aceptable,Alto,3,No,3
7637,Shawarmas,Quincenal,50,7,3,Lento,Medio,5,No,5
7638,Pizza,Quincenal,114,10,2,Aceptable,Medio,6,Sí,6
7639,Hamburguesas,Ocasional,118,10,6,Aceptable,Alto,6,Sí,7
7640,Shawarmas,Mensual,58,9,6,Rápido,Medio,7,Sí,7
7641,Pizza,Ocasional,136,7,7,Rápido,Alto,0,No,5
7642,Hot Dogs,Quincenal,56,6,2,Rápido,Bajo,10,Sí,6
7643,Pizza,Ocasional,62,9,7,Rápido,Medio,9,Sí,8
7644,Hamburguesas,Quincenal,71,4,1,Aceptable,Medio,5,Sí,3
7645,Shawarmas,Semanal,72,9,8,Rápido,Bajo,6,No,8
7646,Sándwiches,Semanal,79,7,8,Rápido,Medio,10,Sí,8
7647,Hamburguesas,Quincenal,40,9,9,Aceptable,Medio,0,Sí,6
7648,Hamburguesas,Semanal,44,9,8,Rápido,Alto,0,No,6
7649,Shawarmas,Mensual,72,6,9,Aceptable,Alto,9,Sí,8
7650,Hamburguesas,Mensual,117,5,10,Rápido,Medio,6,No,7
7651,Pollo Frito,Semanal,90,7,7,Lento,Bajo,9,Sí,8
7652,Tacos,Ocasional,66,4,0,Lento,Medio,9,Sí,4
7653,Sándwiches,Mensual,74,5,2,Aceptable,Medio,4,Sí,4
7654,Pizza,Semanal,54,6,8,Rápido,Medio,7,Sí,7
7655,Pizza,Quincenal,92,5,8,Rápido,Alto,9,No,7
7656,Pizza,Quincenal,156,9,7,Rápido,Bajo,9,Sí,8
7657,Tacos,Semanal,49,9,9,Rápido,Alto,8,Sí,9
7658,Pollo Frito,Mensual,89,1,9,Aceptable,Medio,10,Sí,7
7659,Tacos,Mensual,80,2,6,Rápido,Alto,6,Sí,5
7660,Pizza,Semanal,126,9,8,Lento,Medio,3,Sí,7
7661,Shawarmas,Ocasional,79,1,8,Rápido,Bajo,7,No,5
7662,Hamburguesas,Mensual,84,3,8,Aceptable,Medio,8,No,6
7663,Hamburguesas,Ocasional,113,2,5,Aceptable,Medio,6,No,4
7664,Sándwiches,Mensual,68,3,9,Aceptable,Medio,10,Sí,7
7665,Tacos,Semanal,73,0,5,Aceptable,Bajo,3,No,3
7666,Tacos,Mensual,32,5,6,Aceptable,Medio,5,No,5
7667,Pizza,Ocasional,80,7,10,Aceptable,Medio,7,Sí,8
7668,Pollo Frito,Ocasional,92,9,7,Aceptable,Alto,6,Sí,7
7669,Pollo Frito,Ocasional,35,7,4,Aceptable,Medio,8,Sí,6
7670,Pizza,Mensual,112,6,3,Rápido,Alto,9,Sí,6
7671,Hamburguesas,Ocasional,108,2,9,Rápido,Medio,2,Sí,4
7672,Sándwiches,Mensual,30,6,8,Lento,Medio,8,Sí,7
7673,Hamburguesas,Quincenal,70,5,7,Rápido,Medio,7,Sí,6
7674,Pollo Frito,Semanal,107,8,10,Aceptable,Medio,10,Sí,9
7675,Hamburguesas,Quincenal,64,5,8,Rápido,Medio,10,No,8
7676,Hot Dogs,Quincenal,42,10,7,Rápido,Medio,9,Sí,9
7677,Sándwiches,Semanal,32,9,7,Rápido,Medio,7,Sí,8
7678,Hamburguesas,Mensual,57,7,6,Lento,Medio,9,Sí,7
7679,Pollo Frito,Diario,109,9,3,Rápido,Alto,8,Sí,7
7680,Pizza,Quincenal,92,6,4,Rápido,Medio,10,Sí,7
7681,Hot Dogs,Ocasional,70,2,6,Aceptable,Medio,3,Sí,4
7682,Shawarmas,Quincenal,93,1,4,Rápido,Medio,8,No,4
7683,Pizza,Semanal,153,8,7,Lento,Medio,8,Sí,8
7684,Hamburguesas,Semanal,53,5,8,Rápido,Medio,7,No,7
7685,Hamburguesas,Quincenal,97,1,7,Rápido,Medio,10,Sí,6
7686,Tacos,Semanal,28,10,3,Rápido,Bajo,2,Sí,5
7687,Pizza,Ocasional,84,6,5,Aceptable,Bajo,5,No,5
7688,Hamburguesas,Semanal,54,6,8,Aceptable,Alto,9,Sí,8
7689,Pizza,Quincenal,105,6,2,Rápido,Alto,3,No,4
7690,Tacos,Quincenal,49,10,8,Rápido,Medio,10,Sí,9
7691,Tacos,Mensual,40,10,7,Lento,Medio,9,Sí,9
7692,Shawarmas,Mensual,33,9,8,Aceptable,Medio,10,Sí,9
7693,Hamburguesas,Semanal,53,2,6,Aceptable,Alto,2,No,3
7694,Sándwiches,Ocasional,61,5,1,Aceptable,Medio,2,No,3
7695,Pizza,Ocasional,65,3,9,Rápido,Medio,7,Sí,6
7696,Hamburguesas,Semanal,116,8,9,Rápido,Medio,9,Sí,9
7697,Pizza,Quincenal,128,5,8,Rápido,Medio,6,Sí,6
7698,Tacos,Quincenal,62,9,4,Rápido,Medio,7,Sí,7
7699,Pollo Frito,Semanal,79,3,6,Rápido,Bajo,5,No,5
7700,Hamburguesas,Quincenal,81,10,6,Lento,Medio,7,Sí,8
7701,Tacos,Mensual,32,5,5,Rápido,Medio,7,No,6
7702,Hamburguesas,Mensual,106,6,9,Aceptable,Bajo,9,Sí,8
7703,Shawarmas,Mensual,58,9,9,Rápido,Alto,9,Sí,9
7704,Pizza,Semanal,154,9,7,Lento,Alto,10,Sí,9
7705,Pollo Frito,Quincenal,52,6,2,Aceptable,Alto,9,Sí,6
7706,Pizza,Diario,146,8,8,Rápido,Alto,8,Sí,8
7707,Pizza,Semanal,148,3,7,Lento,Medio,0,Sí,3
7708,Hot Dogs,Mensual,54,8,8,Lento,Medio,7,Sí,8
7709,Pollo Frito,Diario,66,9,9,Rápido,Alto,9,Sí,9
7710,Hamburguesas,Semanal,118,2,9,Rápido,Alto,8,No,6
7711,Hamburguesas,Semanal,113,10,6,Aceptable,Medio,9,Sí,8
7712,Tacos,Quincenal,71,8,10,Rápido,Medio,10,Sí,9
7713,Pollo Frito,Quincenal,41,7,5,Rápido,Medio,6,Sí,6
7714,Pollo Frito,Semanal,96,10,4,Rápido,Medio,8,Sí,7
7715,Pizza,Quincenal,128,7,3,Lento,Medio,10,Sí,7
7716,Pizza,Diario,62,9,0,Rápido,Medio,8,Sí,6
7717,Shawarmas,Quincenal,46,3,3,Aceptable,Medio,6,No,4
7718,Pizza,Quincenal,87,7,7,Aceptable,Medio,8,Sí,7
7719,Sándwiches,Semanal,75,10,10,Aceptable,Bajo,7,Sí,9
7720,Pizza,Quincenal,125,9,7,Lento,Alto,9,Sí,8
7721,Pollo Frito,Diario,87,7,3,Lento,Medio,10,Sí,7
7722,Tacos,Mensual,29,2,4,Lento,Medio,6,Sí,4
7723,Pollo Frito,Ocasional,113,9,10,Rápido,Bajo,10,Sí,10
7724,Pizza,Semanal,92,8,7,Aceptable,Medio,6,No,7
7725,Pollo Frito,Ocasional,72,6,9,Rápido,Medio,5,Sí,7
7726,Pizza,Quincenal,112,10,7,Rápido,Alto,9,Sí,9
7727,Pizza,Quincenal,94,5,9,Aceptable,Medio,9,Sí,8
7728,Hot Dogs,Ocasional,72,6,9,Rápido,Medio,8,Sí,8
7729,Sándwiches,Semanal,42,10,0,Rápido,Medio,0,Sí,3
7730,Hot Dogs,Ocasional,66,7,7,Aceptable,Medio,8,Sí,7
7731,Pizza,Semanal,155,5,10,Lento,Medio,3,No,6
7732,Pizza,Quincenal,50,4,9,Aceptable,Alto,3,No,5
7733,Pollo Frito,Semanal,115,6,6,Aceptable,Medio,8,Sí,7
7734,Hamburguesas,Mensual,118,3,10,Rápido,Alto,9,No,7
7735,Pizza,Quincenal,136,10,10,Aceptable,Medio,2,Sí,7
7736,Pollo Frito,Mensual,44,9,5,Lento,Medio,8,Sí,7
7737,Pollo Frito,Quincenal,60,9,7,Aceptable,Medio,7,Sí,8
7738,Tacos,Quincenal,73,6,9,Aceptable,Medio,2,No,6
7739,Pizza,Quincenal,121,5,3,Lento,Alto,7,No,5
7740,Pollo Frito,Semanal,111,2,9,Aceptable,Medio,7,No,6
7741,Pollo Frito,Quincenal,81,7,3,Aceptable,Alto,5,Sí,5
7742,Pizza,Quincenal,67,8,1,Lento,Medio,7,Sí,5
7743,Pollo Frito,Mensual,129,8,8,Lento,Medio,3,No,6
7744,Pollo Frito,Semanal,53,10,1,Aceptable,Bajo,0,No,4
7745,Pizza,Semanal,106,8,9,Rápido,Medio,9,Sí,9
7746,Hot Dogs,Semanal,35,9,0,Rápido,Medio,10,Sí,6
7747,Tacos,Quincenal,33,9,7,Aceptable,Medio,5,No,7
7748,Pizza,Ocasional,127,9,8,Aceptable,Alto,8,Sí,8
7749,Pizza,Semanal,150,3,7,Rápido,Medio,0,Sí,3
7750,Pollo Frito,Mensual,121,6,5,Lento,Medio,8,Sí,6
7751,Pizza,Semanal,57,6,10,Aceptable,Alto,10,Sí,9
7752,Pizza,Quincenal,97,2,10,Rápido,Medio,8,Sí,7
7753,Pollo Frito,Semanal,51,5,10,Aceptable,Medio,5,Sí,7
7754,Tacos,Mensual,88,7,10,Aceptable,Alto,4,Sí,7
7755,Pollo Frito,Semanal,90,6,9,Rápido,Medio,7,Sí,7
7756,Shawarmas,Quincenal,70,1,3,Lento,Medio,5,Sí,3
7757,Pizza,Mensual,157,2,1,Rápido,Alto,10,No,4
7758,Pizza,Diario,118,5,2,Rápido,Bajo,3,No,3
7759,Pizza,Quincenal,149,7,5,Aceptable,Medio,7,Sí,6
7760,Pollo Frito,Quincenal,101,9,9,Rápido,Medio,4,Sí,7
7761,Hamburguesas,Semanal,91,7,0,Aceptable,Medio,8,Sí,5
7762,Hamburguesas,Semanal,43,7,3,Rápido,Medio,9,Sí,6
7763,Pizza,Semanal,92,6,9,Rápido,Medio,6,Sí,7
7764,Hamburguesas,Diario,99,7,4,Rápido,Alto,9,Sí,7
7765,Pollo Frito,Diario,43,3,10,Aceptable,Medio,10,Sí,8
7766,Pizza,Mensual,126,0,8,Aceptable,Alto,1,Sí,3
7767,Hamburguesas,Semanal,88,9,8,Rápido,Medio,7,Sí,8
7768,Hot Dogs,Semanal,71,5,8,Aceptable,Medio,5,No,6
7769,Hamburguesas,Quincenal,104,6,6,Rápido,Medio,10,Sí,7
7770,Hamburguesas,Quincenal,101,8,6,Aceptable,Alto,5,Sí,6
7771,Pollo Frito,Semanal,103,10,3,Aceptable,Medio,10,Sí,8
7772,Pollo Frito,Semanal,117,8,6,Aceptable,Medio,5,Sí,6
7773,Pizza,Semanal,62,5,3,Rápido,Alto,10,Sí,6
7774,Pollo Frito,Semanal,119,7,8,Aceptable,Medio,7,Sí,7
7775,Pizza,Mensual,57,6,4,Lento,Alto,8,Sí,6
7776,Pollo Frito,Ocasional,124,9,9,Rápido,Bajo,9,Sí,9
7777,Pizza,Semanal,102,9,9,Aceptable,Medio,3,No,7
7778,Pizza,Semanal,154,5,2,Aceptable,Medio,0,No,2
7779,Hamburguesas,Quincenal,101,9,7,Aceptable,Alto,7,Sí,8
7780,Pollo Frito,Semanal,77,9,9,Lento,Bajo,10,Sí,9
7781,Tacos,Quincenal,72,6,7,Aceptable,Bajo,8,Sí,7
7782,Hot Dogs,Diario,40,8,7,Aceptable,Alto,8,Sí,8
7783,Pizza,Quincenal,79,5,10,Aceptable,Bajo,9,Sí,8
7784,Pizza,Quincenal,97,7,2,Aceptable,Alto,9,Sí,6
7785,Sándwiches,Mensual,33,6,8,Rápido,Medio,10,Sí,8
7786,Tacos,Mensual,49,10,7,Aceptable,Alto,1,No,6
7787,Pizza,Semanal,158,5,10,Aceptable,Medio,9,No,8
7788,Hamburguesas,Quincenal,64,8,10,Aceptable,Medio,6,No,8
7789,Hamburguesas,Mensual,91,10,10,Aceptable,Bajo,7,Sí,9
7790,Pizza,Mensual,45,1,6,Rápido,Medio,9,No,5
7791,Tacos,Semanal,86,9,5,Aceptable,Medio,8,Sí,7
7792,Pizza,Mensual,154,0,8,Rápido,Medio,6,Sí,5
7793,Hot Dogs,Semanal,32,8,5,Rápido,Medio,10,Sí,8
7794,Pollo Frito,Diario,130,7,1,Aceptable,Alto,4,Sí,4
7795,Pollo Frito,Quincenal,110,9,8,Aceptable,Alto,8,Sí,8
7796,Hamburguesas,Semanal,70,8,10,Aceptable,Bajo,7,Sí,8
7797,Pollo Frito,Semanal,62,9,5,Aceptable,Medio,2,No,5
7798,Hot Dogs,Semanal,59,9,9,Aceptable,Medio,8,Sí,9
7799,Pollo Frito,Semanal,129,4,3,Aceptable,Alto,10,Sí,6
7800,Pizza,Semanal,79,0,6,Lento,Medio,9,Sí,5
7801,Pollo Frito,Semanal,60,5,8,Rápido,Medio,7,Sí,7
7802,Hamburguesas,Ocasional,55,8,9,Aceptable,Medio,8,Sí,8
7803,Pollo Frito,Quincenal,71,10,8,Rápido,Medio,6,No,8
7804,Pollo Frito,Quincenal,52,9,9,Rápido,Medio,7,Sí,8
7805,Hamburguesas,Quincenal,70,9,7,Aceptable,Medio,6,Sí,7
7806,Sándwiches,Ocasional,94,10,8,Aceptable,Alto,8,Sí,9
7807,Hamburguesas,Quincenal,60,8,7,Aceptable,Medio,9,Sí,8
7808,Pizza,Semanal,102,9,3,Rápido,Medio,9,Sí,7
7809,Shawarmas,Ocasional,43,8,2,Aceptable,Bajo,7,Sí,6
7810,Hamburguesas,Quincenal,92,5,0,Aceptable,Bajo,1,Sí,2
7811,Pizza,Quincenal,150,9,10,Rápido,Medio,6,No,8
7812,Hamburguesas,Semanal,44,3,9,Aceptable,Alto,7,No,6
7813,Pizza,Quincenal,155,1,7,Rápido,Medio,8,No,5
7814,Hamburguesas,Ocasional,55,9,2,Rápido,Medio,7,Sí,6
7815,Tacos,Semanal,51,9,8,Aceptable,Medio,7,Sí,8
7816,Sándwiches,Semanal,64,0,5,Aceptable,Alto,7,No,4
7817,Pollo Frito,Mensual,62,1,8,Aceptable,Medio,9,No,6
7818,Hot Dogs,Semanal,42,7,2,Aceptable,Alto,5,Sí,5
7819,Pizza,Quincenal,83,9,9,Aceptable,Medio,9,Sí,9
7820,Pizza,Mensual,120,8,7,Rápido,Medio,8,Sí,8
7821,Pizza,Semanal,68,9,7,Lento,Bajo,7,Sí,8
7822,Pizza,Quincenal,160,9,7,Lento,Medio,7,Sí,8
7823,Hamburguesas,Semanal,105,9,6,Aceptable,Bajo,3,No,6
7824,Hamburguesas,Semanal,76,0,6,Rápido,Bajo,10,Sí,5
7825,Tacos,Ocasional,50,10,8,Aceptable,Alto,8,Sí,9
7826,Pizza,Ocasional,82,0,6,Aceptable,Medio,8,No,5
7827,Pizza,Semanal,65,7,10,Aceptable,Medio,2,Sí,6
7828,Hamburguesas,Ocasional,86,6,9,Rápido,Medio,0,Sí,5
7829,Hamburguesas,Semanal,55,4,1,Aceptable,Bajo,3,Sí,3
7830,Shawarmas,Quincenal,31,5,7,Aceptable,Medio,10,No,7
7831,Sándwiches,Semanal,86,3,6,Rápido,Bajo,8,Sí,6
7832,Pizza,Semanal,139,8,8,Rápido,Bajo,10,Sí,9
7833,Pollo Frito,Semanal,112,6,8,Rápido,Medio,6,Sí,7
7834,Tacos,Ocasional,28,8,7,Aceptable,Medio,6,Sí,7
7835,Pollo Frito,Ocasional,95,10,9,Aceptable,Medio,3,Sí,7
7836,Pollo Frito,Semanal,62,4,5,Rápido,Medio,0,No,3
7837,Pizza,Quincenal,52,2,7,Rápido,Medio,5,No,5
7838,Sándwiches,Mensual,90,3,7,Aceptable,Medio,7,No,6
7839,Pollo Frito,Quincenal,35,3,0,Lento,Medio,5,Sí,3
7840,Sándwiches,Mensual,83,9,8,Rápido,Medio,7,Sí,8
7841,Hamburguesas,Ocasional,39,8,8,Rápido,Medio,6,Sí,7
7842,Pizza,Mensual,71,0,9,Aceptable,Medio,8,Sí,6
7843,Pizza,Mensual,47,9,5,Rápido,Medio,4,No,6
7844,Pizza,Semanal,91,9,5,Lento,Alto,10,Sí,8
7845,Shawarmas,Quincenal,94,3,6,Rápido,Medio,9,Sí,6
7846,Hamburguesas,Semanal,56,9,8,Aceptable,Medio,6,No,8
7847,Pizza,Mensual,74,6,7,Rápido,Alto,6,No,6
7848,Hot Dogs,Ocasional,50,8,5,Aceptable,Medio,5,Sí,6
7849,Tacos,Diario,42,10,3,Lento,Bajo,3,No,5
7850,Pizza,Quincenal,128,8,7,Aceptable,Medio,10,Sí,8
7851,Pizza,Semanal,131,9,1,Rápido,Medio,8,Sí,6
7852,Tacos,Diario,61,3,0,Aceptable,Medio,9,No,4
7853,Hamburguesas,Mensual,66,8,4,Aceptable,Alto,8,Sí,7
7854,Tacos,Semanal,81,8,9,Aceptable,Bajo,9,Sí,9
7855,Pizza,Mensual,47,9,5,Rápido,Bajo,8,Sí,7
7856,Sándwiches,Semanal,48,9,8,Aceptable,Bajo,1,No,6
7857,Sándwiches,Quincenal,93,3,7,Aceptable,Alto,6,Sí,5
7858,Pollo Frito,Quincenal,36,10,5,Rápido,Medio,3,Sí,6
7859,Hot Dogs,Mensual,55,6,10,Aceptable,Medio,2,Sí,6
7860,Hamburguesas,Quincenal,64,8,2,Aceptable,Medio,5,No,5
7861,Hot Dogs,Quincenal,40,7,7,Aceptable,Medio,7,Sí,7
7862,Pizza,Quincenal,54,1,2,Rápido,Medio,6,No,3
7863,Pollo Frito,Semanal,101,7,0,Aceptable,Medio,5,Sí,4
7864,Pollo Frito,Semanal,72,8,10,Aceptable,Medio,9,Sí,9
7865,Hamburguesas,Quincenal,60,5,7,Rápido,Medio,7,Sí,6
7866,Hamburguesas,Semanal,41,9,7,Aceptable,Medio,6,No,7
7867,Pizza,Quincenal,91,9,9,Lento,Medio,4,Sí,7
7868,Hamburguesas,Quincenal,84,5,5,Rápido,Bajo,8,No,6
7869,Pizza,Semanal,52,8,10,Rápido,Medio,4,No,7
7870,Pollo Frito,Semanal,63,9,6,Rápido,Bajo,6,Sí,7
7871,Pizza,Semanal,84,6,9,Aceptable,Bajo,10,Sí,8
7872,Pollo Frito,Quincenal,97,9,4,Rápido,Medio,6,No,6
7873,Hamburguesas,Quincenal,38,9,4,Aceptable,Bajo,6,No,6
7874,Pizza,Quincenal,97,10,6,Rápido,Bajo,1,No,6
7875,Pizza,Semanal,97,8,9,Lento,Medio,1,Sí,6
7876,Sándwiches,Quincenal,75,9,6,Rápido,Alto,2,Sí,6
7877,Tacos,Quincenal,81,9,6,Aceptable,Medio,4,No,6
7878,Hamburguesas,Semanal,105,10,7,Aceptable,Alto,4,Sí,7
7879,Sándwiches,Quincenal,77,7,9,Rápido,Medio,10,Sí,9
7880,Hamburguesas,Mensual,85,9,10,Rápido,Bajo,8,Sí,9
7881,Sándwiches,Ocasional,40,2,8,Aceptable,Bajo,7,Sí,6
7882,Tacos,Semanal,49,7,5,Aceptable,Medio,8,Sí,7
7883,Pollo Frito,Ocasional,63,10,8,Aceptable,Bajo,8,Sí,9
7884,Pollo Frito,Quincenal,84,10,10,Rápido,Alto,8,Sí,9
7885,Shawarmas,Semanal,41,5,9,Aceptable,Alto,1,No,5
7886,Pizza,Mensual,67,0,10,Rápido,Alto,2,Sí,4
7887,Pizza,Quincenal,85,4,5,Lento,Medio,10,No,6
7888,Pizza,Semanal,113,9,8,Aceptable,Medio,8,Sí,8
7889,Shawarmas,Diario,96,3,9,Rápido,Medio,6,Sí,6
7890,Tacos,Quincenal,77,7,6,Aceptable,Medio,9,Sí,7
7891,Sándwiches,Semanal,50,5,4,Rápido,Medio,5,Sí,5
7892,Pollo Frito,Semanal,86,0,4,Aceptable,Medio,1,No,2
7893,Hamburguesas,Quincenal,68,2,10,Aceptable,Medio,2,No,5
7894,Hot Dogs,Quincenal,55,0,7,Rápido,Alto,3,Sí,3
7895,Pizza,Diario,124,8,10,Lento,Medio,6,No,8
7896,Shawarmas,Semanal,66,7,8,Aceptable,Bajo,7,Sí,7
7897,Pizza,Mensual,47,10,7,Lento,Alto,4,Sí,7
7898,Hamburguesas,Quincenal,44,1,0,Rápido,Medio,4,Sí,2
7899,Sándwiches,Quincenal,82,10,0,Rápido,Alto,9,Sí,6
7900,Pollo Frito,Quincenal,106,10,9,Rápido,Medio,2,No,7
7901,Hot Dogs,Mensual,36,5,5,Aceptable,Bajo,8,No,6
7902,Pizza,Mensual,143,8,8,Aceptable,Alto,7,Sí,8
7903,Hamburguesas,Quincenal,64,4,6,Aceptable,Bajo,8,Sí,6
7904,Shawarmas,Quincenal,60,2,8,Aceptable,Medio,10,No,7
